name,lat,lon,population
Springdale,36.1901,-94.1574,85887
Newport Beach,33.6151,-117.8668,85806
San Ramon,37.7624,-121.9365,85688
Lake Forest,33.6605,-117.6714,85516
Mission,26.2039,-98.3256,85311
Auburn,47.3039,-122.2108,85306
Brooklyn Park,45.1112,-93.3505,85247
Bryan,30.665,-96.3807,85204
Westland,42.3192,-83.3805,84961
Cicero,41.8445,-87.7593,84905
Napa,38.2975,-122.301,84703
Fort Myers,26.6194,-81.8302,84694
Pine Hills,28.5818,-81.4692,84289
Atascocita,29.9777,-95.1953,84222
Buena Park,33.8572,-118.0046,83974
Redwood City,37.5025,-122.2253,83905
Anderson,40.0891,-85.6892,83875
Farmington Hills,42.486,-83.3771,83749
Melbourne,28.1086,-80.6627,83500
Miami Beach,25.8171,-80.1396,83469
Albany,31.5776,-84.1762,83447
Alhambra,34.084,-118.1355,83174
State College,40.7909,-77.8567,83170
Jackson,42.2431,-84.4038,82775
Warwick,41.7062,-71.4334,82666
Cranston,41.7658,-71.4858,82654
Baytown,29.7587,-94.9671,82543
Largo,27.9088,-82.7712,82505
Silver Spring,39.0028,-77.0207,82472
Lakewood,33.8471,-118.1222,82419
Mountain View,37.4001,-122.0796,82409
Johns Creek,34.0333,-84.2027,82068
Salisbury,38.3756,-75.5865,81921
Morgantown,39.6383,-79.9464,81912
Springfield,39.93,-83.7959,81620
Franklin,35.92,-86.8516,81531
Florence,34.8303,-87.6655,81268
Madera,36.963,-120.0778,80937
Parma,41.3843,-81.7286,80880
Layton,41.077,-111.962,80858
New Rochelle,40.9304,-73.7836,80685
Somerville,42.3908,-71.1014,80608
Terre Haute,39.466,-87.3751,80567
Flagstaff,35.1872,-111.6194,80167
Plymouth,45.0225,-93.4617,80034
Newark,40.0706,-82.425,79959
Tustin,33.7311,-117.8107,79895
Anniston,33.6712,-85.8135,79717
Milpitas,37.4336,-121.8921,79593
Texarkana,33.45,-94.0847,79570
Pleasanton,37.6663,-121.8805,79558
Boynton Beach,26.5281,-80.0811,79479
Port Huron,42.9821,-82.4388,79363
Turlock,37.5053,-120.8588,79301
Folsom,38.6668,-121.1422,79201
Bellflower,33.888,-118.1271,79070
Pharr,26.1685,-98.1904,78997
Homestead,25.4665,-80.4472,78885
Alton,38.9037,-90.152,78729
Upland,34.1178,-117.6604,78624
Evanston,42.0464,-87.6943,78454
Rancho Cordova,38.5737,-121.2527,78358
Battle Creek,42.2985,-85.2296,78338
Alameda,37.7668,-122.267,78320
Chino Hills,33.9508,-117.7254,78229
Cheyenne,41.135,-104.7902,78204
Lebanon,40.3412,-76.4228,78147
Perris,33.7898,-117.2233,78106
Schaumburg,42.0308,-88.0838,78053
Kendall,25.6697,-80.3556,78007
Davis,38.5553,-121.737,77874
Elizabethtown,37.7031,-85.8773,77770
Jonesboro,35.8212,-90.6791,77520
Hammond,41.6168,-87.4909,77491
Carmichael,38.6318,-121.3263,77358
Arlington Heights,42.0955,-87.9826,77283
Alexandria,31.2923,-92.4702,77109
Camarillo,34.223,-119.0321,76748
Wyoming,42.8908,-85.7066,76625
Hattiesburg,31.3074,-89.317,76501
The Villages,28.9034,-81.9887,76415
Pasco,46.2506,-119.1305,76398
Southfield,42.4765,-83.2605,76196
Wenatchee,47.436,-120.3295,76152
Hammond,30.5061,-90.4563,76032
Rochester Hills,42.6645,-83.1563,75990
Loveland,40.4166,-105.0623,75938
Valdosta,30.8502,-83.2788,75919
Pittsburg,38.0182,-121.8965,75701
Owensboro,37.7575,-87.1172,75644
South Jordan,40.557,-111.9784,75617
Bethlehem,40.6266,-75.3679,75599
Apple Valley,34.5352,-117.2109,75311
Pawtucket,41.8744,-71.3743,75200
Flower Mound,33.0343,-97.1146,75050
St. Joseph,39.7598,-94.821,75033
Cedar Park,30.5105,-97.8197,74741
Dover,43.1887,-70.8845,74554
Caguas,18.2319,-66.0388,74502
Ellicott City,39.2774,-76.8345,74432
Saratoga Springs,43.0674,-73.7775,74339
Pocatello,42.8724,-112.4647,74284
Oshkosh,44.0227,-88.5619,74251
North Port,27.0576,-82.1977,74131
New Britain,41.6759,-72.7862,74022
Woodbury,44.9057,-92.923,74014
Lauderhill,26.1605,-80.2241,73935
Lehi,40.4136,-111.8725,73911
Bolingbrook,41.6901,-88.1021,73807
Dale City,38.6473,-77.3459,73716
Missouri City,29.563,-95.5365,73682
Sheboygan,43.7403,-87.7316,73531
Mansfield,40.7656,-82.5275,73448
Glens Falls,43.3109,-73.6458,73424
Lodi,38.1218,-121.2932,73239
Harrisonburg,38.4362,-78.8735,73160
Doral,25.8152,-80.3565,73126
Centreville,38.839,-77.4389,73064
Dothan,31.2336,-85.407,73037
Cleveland,35.1817,-84.8707,72870
Mount Vernon,40.9136,-73.8291,72855
Jackson,35.6538,-88.8354,72836
Baldwin Park,34.0829,-117.9722,72813
Broomfield,39.9542,-105.0526,72697
Redlands,34.0512,-117.1712,72649
Camden,39.9361,-75.1073,72381
Altoona,40.5082,-78.4007,72348
Redmond,47.6763,-122.1169,72166
Framingham,42.3085,-71.4368,72089
Porterville,36.0643,-119.0338,71669
Mansfield,32.569,-97.1213,71375
Waukesha,43.0087,-88.2464,71307
Blacksburg,37.23,-80.4279,71277
Wausau,44.962,-89.6459,71236
Sumter,33.9392,-80.393,71234
Janesville,42.6854,-89.0135,71202
Brunswick,31.1449,-81.4746,71160
Tamarac,26.2056,-80.2539,71140
Daytona Beach,29.1995,-81.0982,71041
Castle Rock,39.3763,-104.8535,71037
Redondo Beach,33.8577,-118.3765,70998
Wilmington,39.7415,-75.5416,70926
Union City,37.6032,-122.0181,70828
Fairbanks,64.8353,-147.6533,70817
Bayonne,40.6668,-74.1158,70553
Guaynabo,18.3832,-66.1134,70542
Spring Hill,35.7437,-86.9116,70531
Grand Forks,47.9214,-97.0884,70475
Rocklin,38.8075,-121.2489,70317
Passaic,40.8574,-74.1282,70308
Casas Adobes,32.3423,-111.0113,70224
St. Charles,38.7954,-90.5157,70218
El Paso de Robles,35.6394,-120.656,70128
Maple Grove,45.1089,-93.4626,69900
Sherman,33.6273,-96.6221,69880
Walnut Creek,37.9024,-122.0399,69876
Dublin,37.7161,-121.8963,69818
North Richland Hills,32.8604,-97.218,69817
Gary,41.5905,-87.3473,69739
Glen Burnie,39.156,-76.6071,69739
Conway,35.0753,-92.4692,69651
Michigan City,41.7092,-86.869,69459
Lakeville,44.6774,-93.252,69026
Blaine,45.1696,-93.2077,68999
Poinciana,28.1217,-81.4821,68922
East Orange,40.7651,-74.2117,68918
Noblesville,40.0355,-86.0042,68885
Gaithersburg,39.1346,-77.2131,68827
Lake Elsinore,33.6847,-117.3344,68822
Palo Alto,37.3905,-122.1468,68624
